date,Value,Geography,Age,Qualification,Year of Arrival,Country of Birth
2011,612399,England and Wales (K04000001),Age 16 to 24,No qualifications,Born in the UK,Europe: United Kingdom
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Born in the UK,Europe: Ireland
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Born in the UK,Europe: Other Europe: EU countries: Member countries in March 2001: France
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Born in the UK,Europe: Other Europe: EU countries: Member countries in March 2001: Germany
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Born in the UK,Europe: Other Europe: EU countries: Member countries in March 2001: Italy
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Born in the UK,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal (including Madeira and the Azores)
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Born in the UK,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Born in the UK,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Born in the UK,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Born in the UK,Europe: Other Europe: Rest of Europe
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Born in the UK,Africa: Nigeria
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Born in the UK,Africa: South Africa
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Born in the UK,Africa: Other
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Born in the UK,Middle East and Asia: China
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Born in the UK,Middle East and Asia: Bangladesh
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Born in the UK,Middle East and Asia: India
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Born in the UK,Middle East and Asia: Pakistan
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Born in the UK,Middle East and Asia: Other
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Born in the UK,The Americas and the Caribbean: Canada
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Born in the UK,The Americas and the Caribbean: United States
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Born in the UK,The Americas and the Caribbean: Jamaica
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Born in the UK,The Americas and the Caribbean: Other
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Born in the UK,"Antarctica, Oceania and other"
