date,geography,geography code,Value,Age,Occupation,Highest Level of Qualification
2011,North East,E12000001,173,Age 16 to 24,"1. Managers, directors and senior officials",No qualifications
2011,North West,E12000002,532,Age 16 to 24,"1. Managers, directors and senior officials",No qualifications
2011,Yorkshire and The Humber,E12000003,467,Age 16 to 24,"1. Managers, directors and senior officials",No qualifications
2011,East Midlands,E12000004,351,Age 16 to 24,"1. Managers, directors and senior officials",No qualifications
2011,West Midlands,E12000005,489,Age 16 to 24,"1. Managers, directors and senior officials",No qualifications
2011,East,E12000006,504,Age 16 to 24,"1. Managers, directors and senior officials",No qualifications
2011,London,E12000007,653,Age 16 to 24,"1. Managers, directors and senior officials",No qualifications
2011,South East,E12000008,668,Age 16 to 24,"1. Managers, directors and senior officials",No qualifications
2011,South West,E12000009,327,Age 16 to 24,"1. Managers, directors and senior officials",No qualifications
2011,Wales,W92000004,271,Age 16 to 24,"1. Managers, directors and senior officials",No qualifications
2011,North East,E12000001,597,Age 16 to 24,"1. Managers, directors and senior officials",Level 1 qualifications
2011,North West,E12000002,2047,Age 16 to 24,"1. Managers, directors and senior officials",Level 1 qualifications
2011,Yorkshire and The Humber,E12000003,1451,Age 16 to 24,"1. Managers, directors and senior officials",Level 1 qualifications
2011,East Midlands,E12000004,1378,Age 16 to 24,"1. Managers, directors and senior officials",Level 1 qualifications
2011,West Midlands,E12000005,1600,Age 16 to 24,"1. Managers, directors and senior officials",Level 1 qualifications
2011,East,E12000006,2105,Age 16 to 24,"1. Managers, directors and senior officials",Level 1 qualifications
2011,London,E12000007,1915,Age 16 to 24,"1. Managers, directors and senior officials",Level 1 qualifications
2011,South East,E12000008,3018,Age 16 to 24,"1. Managers, directors and senior officials",Level 1 qualifications
2011,South West,E12000009,1692,Age 16 to 24,"1. Managers, directors and senior officials",Level 1 qualifications
2011,Wales,W92000004,863,Age 16 to 24,"1. Managers, directors and senior officials",Level 1 qualifications
2011,North East,E12000001,961,Age 16 to 24,"1. Managers, directors and senior officials",Level 2 qualifications
2011,North West,E12000002,3434,Age 16 to 24,"1. Managers, directors and senior officials",Level 2 qualifications
2011,Yorkshire and The Humber,E12000003,2438,Age 16 to 24,"1. Managers, directors and senior officials",Level 2 qualifications
2011,East Midlands,E12000004,2222,Age 16 to 24,"1. Managers, directors and senior officials",Level 2 qualifications
2011,West Midlands,E12000005,2694,Age 16 to 24,"1. Managers, directors and senior officials",Level 2 qualifications
2011,East,E12000006,3382,Age 16 to 24,"1. Managers, directors and senior officials",Level 2 qualifications
2011,London,E12000007,2846,Age 16 to 24,"1. Managers, directors and senior officials",Level 2 qualifications
2011,South East,E12000008,4949,Age 16 to 24,"1. Managers, directors and senior officials",Level 2 qualifications
2011,South West,E12000009,3100,Age 16 to 24,"1. Managers, directors and senior officials",Level 2 qualifications
2011,Wales,W92000004,1483,Age 16 to 24,"1. Managers, directors and senior officials",Level 2 qualifications
2011,North East,E12000001,1321,Age 16 to 24,"1. Managers, directors and senior officials",Level 3 qualifications
2011,North West,E12000002,3933,Age 16 to 24,"1. Managers, directors and senior officials",Level 3 qualifications
2011,Yorkshire and The Humber,E12000003,3004,Age 16 to 24,"1. Managers, directors and senior officials",Level 3 qualifications
2011,East Midlands,E12000004,2816,Age 16 to 24,"1. Managers, directors and senior officials",Level 3 qualifications
2011,West Midlands,E12000005,3170,Age 16 to 24,"1. Managers, directors and senior officials",Level 3 qualifications
2011,East,E12000006,3702,Age 16 to 24,"1. Managers, directors and senior officials",Level 3 qualifications
2011,London,E12000007,3696,Age 16 to 24,"1. Managers, directors and senior officials",Level 3 qualifications
2011,South East,E12000008,6016,Age 16 to 24,"1. Managers, directors and senior officials",Level 3 qualifications
2011,South West,E12000009,3725,Age 16 to 24,"1. Managers, directors and senior officials",Level 3 qualifications
2011,Wales,W92000004,1569,Age 16 to 24,"1. Managers, directors and senior officials",Level 3 qualifications
2011,North East,E12000001,1098,Age 16 to 24,"1. Managers, directors and senior officials",Level 4 qualifications and above
2011,North West,E12000002,3509,Age 16 to 24,"1. Managers, directors and senior officials",Level 4 qualifications and above
2011,Yorkshire and The Humber,E12000003,2558,Age 16 to 24,"1. Managers, directors and senior officials",Level 4 qualifications and above
2011,East Midlands,E12000004,2205,Age 16 to 24,"1. Managers, directors and senior officials",Level 4 qualifications and above
