date,Value,Geography,Occupation,Year of Arrival,Country of Birth
2011,2467423,England and Wales (K04000001),"1. Managers, directors and senior officials",Born in the UK,Europe: United Kingdom
2011,0,England and Wales (K04000001),"1. Managers, directors and senior officials",Born in the UK,Europe: Ireland
2011,0,England and Wales (K04000001),"1. Managers, directors and senior officials",Born in the UK,Europe: Other Europe: EU countries: Member countries in March 2001: France
2011,0,England and Wales (K04000001),"1. Managers, directors and senior officials",Born in the UK,Europe: Other Europe: EU countries: Member countries in March 2001: Germany
2011,0,England and Wales (K04000001),"1. Managers, directors and senior officials",Born in the UK,Europe: Other Europe: EU countries: Member countries in March 2001: Italy
2011,0,England and Wales (K04000001),"1. Managers, directors and senior officials",Born in the UK,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal (including Madeira and the Azores)
2011,0,England and Wales (K04000001),"1. Managers, directors and senior officials",Born in the UK,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001
2011,0,England and Wales (K04000001),"1. Managers, directors and senior officials",Born in the UK,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland
2011,0,England and Wales (K04000001),"1. Managers, directors and senior officials",Born in the UK,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries
2011,0,England and Wales (K04000001),"1. Managers, directors and senior officials",Born in the UK,Europe: Other Europe: Rest of Europe
2011,0,England and Wales (K04000001),"1. Managers, directors and senior officials",Born in the UK,Africa: Nigeria
2011,0,England and Wales (K04000001),"1. Managers, directors and senior officials",Born in the UK,Africa: South Africa
2011,0,England and Wales (K04000001),"1. Managers, directors and senior officials",Born in the UK,Africa: Other
2011,0,England and Wales (K04000001),"1. Managers, directors and senior officials",Born in the UK,Middle East and Asia: China
2011,0,England and Wales (K04000001),"1. Managers, directors and senior officials",Born in the UK,Middle East and Asia: Bangladesh
2011,0,England and Wales (K04000001),"1. Managers, directors and senior officials",Born in the UK,Middle East and Asia: India
2011,0,England and Wales (K04000001),"1. Managers, directors and senior officials",Born in the UK,Middle East and Asia: Pakistan
2011,0,England and Wales (K04000001),"1. Managers, directors and senior officials",Born in the UK,Middle East and Asia: Other
2011,0,England and Wales (K04000001),"1. Managers, directors and senior officials",Born in the UK,The Americas and the Caribbean: Canada
2011,0,England and Wales (K04000001),"1. Managers, directors and senior officials",Born in the UK,The Americas and the Caribbean: United States
2011,0,England and Wales (K04000001),"1. Managers, directors and senior officials",Born in the UK,The Americas and the Caribbean: Jamaica
2011,0,England and Wales (K04000001),"1. Managers, directors and senior officials",Born in the UK,The Americas and the Caribbean: Other
2011,0,England and Wales (K04000001),"1. Managers, directors and senior officials",Born in the UK,"Antarctica, Oceania and other"
2011,0,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived before 1981,Europe: United Kingdom
2011,8918,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived before 1981,Europe: Ireland
2011,1188,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived before 1981,Europe: Other Europe: EU countries: Member countries in March 2001: France
2011,8388,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived before 1981,Europe: Other Europe: EU countries: Member countries in March 2001: Germany
2011,2857,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived before 1981,Europe: Other Europe: EU countries: Member countries in March 2001: Italy
2011,548,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived before 1981,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal (including Madeira and the Azores)
2011,3954,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived before 1981,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001
2011,583,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived before 1981,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland
2011,6279,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived before 1981,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries
2011,2342,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived before 1981,Europe: Other Europe: Rest of Europe
2011,1195,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived before 1981,Africa: Nigeria
2011,2639,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived before 1981,Africa: South Africa
2011,23909,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived before 1981,Africa: Other
2011,598,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived before 1981,Middle East and Asia: China
2011,2750,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived before 1981,Middle East and Asia: Bangladesh
2011,16579,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived before 1981,Middle East and Asia: India
2011,7722,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived before 1981,Middle East and Asia: Pakistan
2011,17771,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived before 1981,Middle East and Asia: Other
2011,2076,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived before 1981,The Americas and the Caribbean: Canada
2011,2343,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived before 1981,The Americas and the Caribbean: United States
2011,2360,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived before 1981,The Americas and the Caribbean: Jamaica
2011,3728,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived before 1981,The Americas and the Caribbean: Other
2011,3277,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived before 1981,"Antarctica, Oceania and other"
2011,0,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1981-1990,Europe: United Kingdom
2011,5694,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1981-1990,Europe: Ireland
2011,1076,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1981-1990,Europe: Other Europe: EU countries: Member countries in March 2001: France
2011,3086,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1981-1990,Europe: Other Europe: EU countries: Member countries in March 2001: Germany
2011,993,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1981-1990,Europe: Other Europe: EU countries: Member countries in March 2001: Italy
2011,476,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1981-1990,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal (including Madeira and the Azores)
2011,2427,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1981-1990,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001
2011,510,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1981-1990,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland
2011,876,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1981-1990,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries
2011,2465,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1981-1990,Europe: Other Europe: Rest of Europe
2011,1683,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1981-1990,Africa: Nigeria
2011,1768,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1981-1990,Africa: South Africa
2011,7268,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1981-1990,Africa: Other
2011,693,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1981-1990,Middle East and Asia: China
2011,2787,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1981-1990,Middle East and Asia: Bangladesh
2011,5225,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1981-1990,Middle East and Asia: India
2011,3073,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1981-1990,Middle East and Asia: Pakistan
2011,9708,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1981-1990,Middle East and Asia: Other
2011,766,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1981-1990,The Americas and the Caribbean: Canada
2011,1803,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1981-1990,The Americas and the Caribbean: United States
2011,324,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1981-1990,The Americas and the Caribbean: Jamaica
2011,1236,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1981-1990,The Americas and the Caribbean: Other
2011,1911,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1981-1990,"Antarctica, Oceania and other"
2011,0,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1991-2000,Europe: United Kingdom
2011,3386,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1991-2000,Europe: Ireland
2011,3182,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1991-2000,Europe: Other Europe: EU countries: Member countries in March 2001: France
2011,2843,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1991-2000,Europe: Other Europe: EU countries: Member countries in March 2001: Germany
2011,2508,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1991-2000,Europe: Other Europe: EU countries: Member countries in March 2001: Italy
2011,1076,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1991-2000,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal (including Madeira and the Azores)
2011,5079,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1991-2000,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001
2011,1412,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1991-2000,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland
2011,2636,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1991-2000,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries
2011,7117,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1991-2000,Europe: Other Europe: Rest of Europe
2011,1727,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1991-2000,Africa: Nigeria
2011,4988,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1991-2000,Africa: South Africa
2011,8826,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1991-2000,Africa: Other
2011,1756,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1991-2000,Middle East and Asia: China
2011,1496,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1991-2000,Middle East and Asia: Bangladesh
2011,5126,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1991-2000,Middle East and Asia: India
2011,4286,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1991-2000,Middle East and Asia: Pakistan
2011,13779,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1991-2000,Middle East and Asia: Other
2011,1102,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1991-2000,The Americas and the Caribbean: Canada
2011,2813,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1991-2000,The Americas and the Caribbean: United States
2011,771,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1991-2000,The Americas and the Caribbean: Jamaica
2011,2312,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1991-2000,The Americas and the Caribbean: Other
2011,3841,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1991-2000,"Antarctica, Oceania and other"
2011,0,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 2001-2011,Europe: United Kingdom
2011,4273,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 2001-2011,Europe: Ireland
2011,6242,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 2001-2011,Europe: Other Europe: EU countries: Member countries in March 2001: France
2011,4705,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 2001-2011,Europe: Other Europe: EU countries: Member countries in March 2001: Germany
2011,4244,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 2001-2011,Europe: Other Europe: EU countries: Member countries in March 2001: Italy
